receipt_id,date,total,store_id
78,2021-01-14,54,1
79,2023-10-20,15,1
80,2022-10-09,76,1
81,2020-08-20,64,1
82,2020-06-18,15,2
83,2020-09-22,53,1
84,2023-04-18,64,2
85,2024-02-15,54,2
86,2023-09-08,52,1
87,2021-05-08,67,1
88,2023-03-18,36,2
89,2020-03-20,18,1
90,2023-10-03,84,2
91,2023-03-22,10,1
92,2023-06-05,39,2
93,2024-02-28,69,1
94,2021-07-30,56,2
95,2021-03-07,24,2
96,2023-04-28,30,2
97,2020-01-04,5,1
98,2024-01-22,54,2
99,2020-01-11,61,2
100,2020-07-24,10,1
101,2023-09-15,25,1
102,2023-12-03,49,2
103,2022-08-07,81,2
104,2021-02-17,34,2
105,2023-12-30,57,1
106,2021-01-05,24,1
107,2022-11-15,6,2
108,2023-11-25,24,2
109,2021-04-01,61,1
110,2021-11-27,15,2
111,2023-05-27,27,1
112,2021-11-13,58,1
113,2023-12-08,6,2
114,2021-11-29,20,2
115,2021-02-20,38,2
116,2020-12-21,45,1
117,2020-11-24,59,2
118,2023-02-07,91,2
119,2024-02-23,39,1
120,2023-01-01,53,1
121,2021-07-22,47,1
122,2022-01-28,36,1
123,2022-09-23,57,1
124,2022-07-03,36,1
125,2023-09-18,9,1
126,2022-05-13,57,2
127,2024-02-06,9,1
128,2022-10-16,39,2
129,2023-01-17,60,1
130,2023-11-21,39,2
131,2022-06-02,20,2
132,2022-09-09,33,2
133,2020-05-29,50,2
134,2021-02-13,41,1
135,2022-07-21,2,1
136,2022-07-16,45,2
137,2020-08-11,67,2
138,2020-08-27,24,2
139,2021-10-22,42,2
140,2021-01-12,36,2
141,2023-01-04,28,2
142,2022-11-12,71,2
143,2020-03-24,25,2
144,2023-08-27,14,1
145,2021-11-05,26,1
146,2021-05-12,50,1
147,2022-08-30,46,2
148,2020-03-20,10,1
149,2023-12-07,25,1
150,2021-05-18,59,2
151,2020-10-08,47,1
152,2022-09-29,44,1
153,2020-02-04,25,1
154,2020-05-15,37,1
155,2023-07-14,34,2
156,2022-08-03,39,2
157,2020-11-17,21,2
158,2022-04-22,40,2
159,2021-10-13,41,1
160,2020-09-02,10,1
161,2021-02-05,32,1
162,2022-07-06,66,2
163,2023-11-10,27,1
164,2022-11-02,40,2
165,2020-07-14,47,1
166,2023-02-21,16,1
167,2021-01-20,21,1
168,2021-12-20,30,2
169,2020-04-14,91,2
170,2024-01-06,20,1
171,2023-05-25,24,1
172,2022-03-22,89,1
173,2022-07-31,30,2
174,2021-11-29,35,1
175,2020-04-28,54,1
176,2023-06-09,73,2
177,2022-02-25,64,1
178,2023-07-02,15,1
179,2023-03-26,36,2
180,2022-09-08,51,2
181,2022-09-26,6,1
182,2021-10-31,71,1
183,2021-01-01,33,1
184,2023-10-21,21,1
185,2021-05-18,68,1
186,2023-08-31,93,2
187,2023-12-11,57,1
188,2024-01-10,2,2
189,2021-10-07,65,1
190,2024-01-02,72,1
191,2022-02-21,43,1
192,2020-03-15,64,1
193,2023-03-05,57,1
194,2021-03-31,59,1
195,2022-06-07,39,2
196,2022-01-04,20,1
197,2021-01-29,54,1
198,2021-10-24,83,2
199,2020-03-28,52,1
200,2022-07-07,57,2
201,2022-10-26,74,2
202,2023-06-14,61,1
203,2022-10-25,47,2
204,2022-10-10,43,2
205,2022-09-18,8,2
206,2020-12-22,6,2
207,2021-06-23,24,1
208,2020-01-04,21,2
209,2022-04-06,61,1
210,2023-10-10,46,2
211,2021-03-04,36,2
212,2022-05-10,11,2
213,2020-01-20,65,2
214,2022-05-04,59,1
215,2024-02-16,23,1
216,2023-08-06,37,2
217,2021-09-15,8,2
218,2023-08-07,59,2
219,2021-04-16,2,1
220,2024-01-21,24,2
221,2022-12-22,18,1
222,2021-01-30,24,2
223,2021-09-08,46,1
224,2023-04-20,16,1
225,2021-01-10,15,2
226,2024-02-17,66,2
227,2022-02-13,8,2
228,2020-09-18,22,2
229,2023-10-03,87,1
230,2022-10-22,8,1
231,2023-02-18,64,2
232,2022-07-04,79,2
233,2022-12-09,26,2
234,2020-09-24,83,2
235,2020-01-23,76,2
236,2022-05-19,16,2
237,2021-09-21,34,2
238,2020-06-16,57,1
239,2022-08-25,66,1
240,2020-07-13,9,1
241,2024-02-18,12,1
242,2023-07-23,63,1
243,2020-06-29,74,1
244,2024-02-21,8,2
245,2022-05-17,62,2
246,2023-11-06,63,2
247,2022-07-07,31,1
248,2023-06-08,40,2
249,2022-01-11,48,1
250,2020-05-03,55,2
251,2022-06-01,4,1
252,2020-08-05,16,2
253,2023-06-09,38,1
254,2021-10-02,40,2
255,2023-10-14,4,2
256,2021-11-27,21,2
257,2020-09-16,71,1
258,2021-10-30,6,2
259,2020-05-06,12,2
260,2024-01-17,16,1
261,2022-03-01,13,2
262,2022-03-12,62,2
263,2021-12-29,25,2
264,2020-05-23,58,2
265,2023-08-18,35,2
266,2020-01-29,28,2
267,2020-08-06,37,1
268,2022-10-24,28,2
269,2022-05-16,63,1
270,2022-05-29,87,1
271,2022-06-20,8,2
272,2023-05-17,45,2
273,2023-09-19,82,1
274,2023-03-15,10,2
275,2022-03-08,12,1
276,2022-10-18,6,2
277,2020-09-14,73,1
278,2022-05-31,40,2
279,2020-12-24,30,2
280,2022-12-22,79,2
281,2020-03-24,66,1
282,2024-02-28,8,1
283,2022-04-11,10,2
284,2022-02-07,18,2
285,2022-07-10,19,1
286,2021-10-27,8,2
287,2021-11-11,93,2
288,2023-11-03,64,1
289,2020-05-31,35,2
290,2021-10-13,79,2
291,2020-03-14,7,1
292,2020-04-03,8,2
293,2023-10-17,36,2
294,2020-07-28,54,1
295,2023-12-26,36,2
296,2020-04-21,15,2
297,2020-10-07,66,2
298,2021-01-09,82,1
299,2020-02-25,68,2
300,2023-05-06,18,1
301,2022-02-23,22,1
302,2021-08-07,78,1
303,2020-06-17,45,1
304,2021-12-30,4,2
305,2023-08-01,6,1
306,2023-03-29,29,1
307,2021-06-20,36,2
308,2022-03-29,13,1
309,2022-07-01,18,1
310,2023-08-17,46,1
311,2022-10-22,21,1
312,2023-10-03,36,2
313,2021-11-28,14,1
314,2020-12-04,134,1
315,2021-11-29,3,2
316,2022-03-31,20,2
317,2023-05-14,22,1
318,2022-11-13,47,1
319,2023-09-16,44,1
320,2022-11-09,29,2
321,2021-07-13,44,2
322,2020-07-31,23,2
323,2021-07-24,28,2
324,2022-12-30,12,2
325,2020-05-14,40,2
326,2023-10-30,52,2
327,2022-03-12,4,2
328,2020-05-26,36,2
329,2023-08-29,29,2
330,2021-08-31,61,2
331,2023-08-14,90,1
332,2022-08-28,14,1
333,2022-11-02,24,2
334,2020-04-05,61,1
335,2023-05-10,3,2
336,2021-11-18,42,2
337,2022-11-06,81,1
338,2022-12-31,41,2
339,2020-05-15,80,2
340,2020-08-25,53,1
341,2023-04-01,24,2
342,2023-10-23,42,2
343,2023-06-11,36,2
344,2020-08-20,47,1
345,2023-12-14,4,1
346,2023-05-05,6,1
347,2022-05-09,3,2
348,2023-01-22,52,1
349,2022-11-20,61,2
350,2023-05-05,32,1
351,2021-01-26,44,1
352,2021-04-17,39,2
353,2023-12-14,6,2
354,2022-02-08,78,1
355,2021-07-30,34,1
356,2023-08-07,30,1
357,2023-10-29,64,1
358,2020-05-15,68,1
359,2022-06-18,20,1
360,2023-08-24,30,2
361,2021-02-18,52,2
362,2021-08-21,36,1
363,2022-06-06,35,2
364,2022-09-09,7,2
365,2021-03-17,55,2
366,2020-04-13,26,1
367,2023-06-24,54,2
368,2022-11-25,50,1
369,2022-05-12,28,2
370,2022-10-16,44,2
371,2023-09-18,60,1
372,2024-02-10,15,2
373,2020-09-29,20,1
374,2023-05-22,1,2
375,2022-11-29,52,2
376,2022-12-16,5,2
377,2020-12-28,80,1
378,2022-07-07,37,2
379,2022-05-22,64,1
380,2023-07-08,45,1
381,2023-07-31,59,2
382,2023-08-04,65,2
383,2021-06-15,35,1
384,2021-02-08,57,2
385,2022-06-19,48,1
386,2020-10-31,35,2
387,2023-01-04,34,2
388,2023-04-25,39,1
389,2022-01-09,66,2
390,2021-06-17,47,1
391,2023-06-20,22,2
392,2022-05-28,97,1
393,2020-10-30,25,2
394,2022-01-18,18,1
395,2020-01-19,51,2
396,2022-07-21,36,2
397,2023-10-01,94,1
398,2020-04-19,51,2
399,2022-01-18,28,1
400,2021-08-02,70,2
401,2021-04-30,16,2
402,2023-01-07,61,1
403,2023-03-13,59,1
404,2024-02-01,21,2
405,2021-01-15,88,1
406,2023-05-14,87,2
407,2020-03-04,68,1
408,2021-07-18,56,1
409,2022-01-26,13,1
410,2021-07-03,69,1
411,2023-03-17,144,2
412,2022-04-01,41,1
413,2023-10-27,45,1
414,2021-10-14,54,1
415,2021-08-01,52,1
416,2021-09-22,29,1
417,2020-11-15,64,2
418,2023-03-28,6,2
419,2022-11-04,41,2
420,2020-05-22,49,2
421,2023-07-01,35,2
422,2021-02-01,56,2
423,2020-01-09,24,2
424,2024-02-21,58,2
425,2022-01-04,16,1
426,2020-11-07,62,2
427,2022-08-23,59,1
428,2022-09-22,96,2
429,2022-11-17,48,1
430,2020-04-25,77,1
431,2024-02-13,18,2
432,2020-11-28,80,1
433,2022-11-27,37,2
434,2020-11-14,15,2
435,2024-01-13,4,2
436,2020-07-31,105,2
437,2022-06-15,15,2
438,2023-04-04,14,2
439,2020-02-19,52,1
440,2022-06-02,49,1
441,2023-11-03,22,2
442,2021-04-26,24,2
443,2020-04-14,49,2
444,2021-04-25,36,1
445,2022-06-18,74,2
446,2023-12-06,21,1
447,2022-12-15,13,1
448,2022-01-14,72,1
449,2020-03-10,30,1
450,2020-11-17,44,1
451,2020-09-13,43,2
452,2021-01-15,18,1
453,2022-11-01,79,2
454,2021-10-06,64,1
455,2020-08-03,63,2
456,2023-09-22,86,1
457,2021-01-03,68,1
458,2020-12-02,75,1
459,2021-05-10,33,2
460,2023-01-21,13,1
461,2020-04-20,26,2
462,2022-05-19,77,1
463,2022-03-31,56,1
464,2020-09-09,25,1
465,2020-04-03,33,2
466,2020-08-25,59,1
467,2023-06-22,20,1
468,2023-06-03,24,1
469,2022-01-12,5,1
470,2021-10-18,35,1
471,2022-09-06,70,1
472,2020-04-05,41,1
473,2020-10-24,78,1
474,2021-01-30,26,2
475,2022-03-11,36,2
476,2021-09-29,71,2
477,2022-11-14,74,1
478,2022-02-11,76,2
479,2020-03-28,36,1
480,2022-02-12,5,1
481,2020-05-27,30,2
482,2023-05-03,50,1
483,2021-12-09,6,1
484,2021-10-08,74,2
485,2020-06-11,14,1
486,2020-10-26,4,2
487,2021-05-15,91,2
488,2020-01-30,28,1
489,2020-01-22,61,2
490,2022-09-09,15,1
491,2024-01-29,67,1
492,2023-02-01,6,1
493,2024-02-21,40,1
494,2022-07-13,43,2
495,2023-03-15,82,1
496,2022-12-06,10,1
497,2022-11-23,25,1
498,2022-04-21,16,1
499,2020-04-07,59,1
500,2022-05-23,22,1
501,2022-10-30,36,2
502,2023-05-01,78,2
503,2022-08-21,25,2
504,2022-10-11,34,1
505,2022-11-08,71,1
506,2022-12-30,44,2
507,2022-10-18,16,1
508,2021-09-24,9,2
509,2023-11-06,57,2
510,2021-01-12,24,1
511,2023-07-18,61,1
512,2022-10-22,66,1
513,2021-08-17,4,2
514,2020-05-06,35,2
515,2024-01-10,12,2
516,2024-01-03,96,2
517,2023-04-16,36,2
518,2021-06-28,50,2
519,2023-10-19,30,1
520,2023-03-14,5,2
521,2020-05-17,82,2
522,2020-05-04,84,1
523,2021-01-14,81,1
524,2020-09-17,13,1
525,2020-05-03,42,1
526,2020-07-15,23,2
527,2020-10-16,71,2
528,2022-09-08,40,1
529,2023-11-14,16,2
530,2020-03-15,17,1
531,2022-11-28,3,2
532,2021-03-14,91,1
533,2023-12-01,44,2
534,2022-06-22,63,2
535,2020-03-04,46,2
536,2020-11-06,103,1
537,2023-08-07,42,2
538,2020-11-14,44,2
539,2021-09-24,47,2
540,2021-02-25,49,2
541,2020-12-25,3,2
542,2022-10-12,64,2
543,2023-02-22,10,2
544,2020-01-27,95,2
545,2022-12-01,32,2
546,2022-12-21,25,2
547,2021-03-02,26,2
548,2023-02-08,28,2
549,2022-02-13,22,2
550,2020-03-12,18,1
551,2021-06-10,24,2
552,2021-01-03,39,2
553,2023-04-29,18,1
554,2020-07-22,40,1
555,2022-09-12,96,2
556,2021-09-09,93,2
557,2020-01-03,19,1
558,2023-03-18,36,2
559,2020-12-14,30,2
560,2021-11-16,21,1
561,2022-04-19,55,1
562,2023-02-28,74,2
563,2024-01-18,20,2
564,2021-07-20,45,1
565,2020-01-26,24,1
566,2023-07-23,60,1
567,2022-02-11,20,2
568,2021-02-10,58,2
569,2020-12-04,47,1
570,2022-02-18,6,2
571,2020-03-10,12,1
572,2024-01-15,60,1
573,2022-09-20,81,2
574,2021-03-22,48,2
575,2020-07-30,24,1
576,2020-09-13,26,1
577,2023-10-19,42,2
578,2020-01-27,107,2
579,2023-09-03,36,1
580,2024-01-17,30,1
581,2023-03-22,40,1
582,2023-12-30,65,1
583,2021-12-26,18,1
584,2022-08-27,70,1
585,2020-06-17,10,1
586,2023-03-01,27,2
587,2020-09-10,62,1
588,2024-01-08,21,2
589,2021-06-02,18,1
590,2023-02-11,97,2
591,2021-04-06,36,1
592,2020-05-30,70,2
593,2024-02-10,20,2
594,2021-04-08,49,2
595,2021-04-10,48,1
596,2023-10-16,27,2
597,2022-08-22,8,1
598,2023-04-21,67,1
599,2021-01-13,60,2
600,2020-01-01,75,1
601,2020-04-24,26,2
602,2021-10-14,52,1
603,2021-03-13,56,1
604,2023-06-23,101,2
605,2022-09-15,4,2
606,2020-10-09,64,2
607,2023-08-10,6,2
608,2020-03-30,74,1
609,2020-11-08,74,1
610,2021-11-22,47,1
611,2022-10-25,24,2
612,2020-08-18,8,1
613,2023-08-11,13,1
614,2020-09-01,49,1
615,2023-03-23,60,1
616,2021-09-03,39,2
617,2021-01-29,34,2
618,2023-05-16,47,1
619,2020-03-28,91,2
620,2023-01-20,45,1
621,2023-05-25,44,2
622,2021-06-04,12,1
623,2023-02-27,16,2
624,2020-09-20,23,1
625,2020-09-23,44,2
626,2021-07-11,54,2
627,2021-07-23,4,2
628,2023-02-25,42,1
629,2022-08-28,47,1
630,2023-04-03,12,1
631,2022-04-22,27,1
632,2023-09-19,53,1
633,2020-08-02,3,1
634,2020-10-27,30,1
635,2022-09-26,42,1
636,2021-03-05,11,2
637,2021-09-05,47,2
638,2023-03-13,5,1
639,2022-07-18,83,2
640,2020-07-24,12,2
641,2023-08-29,72,1
642,2021-06-17,75,2
643,2022-01-15,13,2
644,2023-03-25,22,1
645,2021-01-24,12,1
646,2020-10-28,12,2
647,2021-12-19,36,2
648,2022-07-15,63,2
649,2021-01-29,3,1
650,2020-08-31,41,2
651,2020-05-15,80,2
652,2020-05-22,66,1
653,2021-05-25,40,2
654,2022-03-22,21,2
655,2023-06-11,58,1
656,2021-10-06,18,1
657,2020-06-11,90,1
658,2023-10-18,6,2
659,2023-12-08,30,2
660,2020-10-26,30,1
661,2022-10-23,12,1
662,2022-08-09,54,1
663,2023-08-25,24,1
664,2020-01-29,36,1
665,2023-12-11,68,2
666,2021-08-21,33,1
667,2020-02-06,37,1
668,2020-10-02,38,1
669,2021-04-14,52,1
670,2022-12-02,4,1
671,2022-06-21,47,2
672,2020-11-26,12,2
673,2023-07-27,39,2
674,2023-07-10,44,2
675,2021-01-28,28,2
676,2024-02-01,41,2
677,2022-11-04,30,1
678,2020-09-13,31,1
679,2021-06-23,116,2
680,2023-12-15,78,2
681,2021-12-08,14,2
682,2020-11-20,2,1
683,2021-11-13,73,2
684,2021-07-03,9,2
685,2021-01-23,35,2
686,2024-02-27,12,2
687,2022-08-21,16,1
688,2023-06-02,62,2
689,2020-06-20,48,2
690,2022-01-09,46,1
691,2023-01-18,31,2
692,2022-01-05,27,1
693,2024-01-09,24,1
694,2022-07-08,25,2
695,2021-03-30,48,2
696,2021-08-11,64,2
697,2022-03-07,46,2
698,2020-12-02,74,1
699,2020-10-26,10,2
700,2023-04-17,82,2
701,2020-05-28,60,1
702,2021-03-16,90,2
703,2023-06-29,36,1
704,2024-01-20,6,2
705,2022-10-31,43,1
706,2020-08-21,35,1
707,2022-06-05,71,1
708,2021-03-25,36,2
709,2020-01-25,1,1
710,2021-07-14,6,1
711,2021-10-16,74,1
712,2022-02-04,6,1
713,2022-04-20,36,1
714,2021-01-30,21,1
715,2020-04-18,57,1
716,2022-02-12,30,2
717,2021-08-24,51,1
718,2023-07-18,86,1
719,2020-03-14,19,2
720,2022-09-02,66,1
721,2021-11-01,30,1
722,2023-11-16,24,2
723,2023-12-28,18,2
724,2020-09-22,60,1
725,2021-04-22,25,2
726,2022-10-29,50,1
727,2021-05-10,24,1
728,2020-06-24,58,1
729,2020-11-25,34,2
730,2022-01-18,15,1
731,2020-09-22,24,1
732,2021-10-06,20,2
733,2021-07-23,2,2
734,2020-06-02,31,1
735,2022-08-28,55,1
736,2022-12-30,68,2
737,2023-06-13,38,2
738,2020-01-20,43,1
739,2020-11-14,29,2
740,2021-04-05,49,2
741,2020-07-31,79,1
742,2020-02-02,64,2
743,2021-06-06,33,2
744,2022-06-24,68,1
745,2020-11-12,16,1
746,2023-07-13,16,1
747,2020-09-08,39,1
748,2020-12-19,32,2
749,2022-06-17,41,1
750,2020-12-29,11,2
751,2022-02-05,25,1
752,2022-08-05,15,1
753,2020-05-15,62,1
754,2022-09-28,19,2
755,2023-01-13,63,2
756,2023-01-10,90,2
757,2023-11-07,19,2
758,2021-11-27,76,1
759,2022-03-21,9,2
760,2021-04-18,72,2
761,2021-07-25,41,1
762,2021-12-20,31,1
763,2021-11-08,8,1
764,2022-10-15,7,1
765,2023-01-30,53,1
766,2022-02-26,15,2
767,2021-03-12,42,2
768,2023-04-13,31,2
769,2021-06-06,94,1
770,2021-02-09,25,1
771,2021-06-28,7,2
772,2021-04-17,24,1
773,2024-01-13,45,2
774,2023-07-07,36,1
775,2022-07-08,72,1
776,2020-11-23,38,2
777,2024-02-12,39,2
778,2022-10-01,40,1
779,2021-10-26,29,1
780,2021-08-18,8,2
781,2023-01-24,39,2
782,2020-03-31,83,2
783,2023-04-22,55,1
784,2022-02-13,86,2
785,2023-04-13,8,1
786,2022-04-24,98,2
787,2022-02-16,32,2
788,2020-09-06,18,1
789,2021-09-15,88,1
790,2021-10-08,36,1
791,2020-01-07,78,1
792,2022-02-16,44,2
793,2022-12-11,60,1
794,2024-01-14,56,2
795,2023-09-02,67,1
796,2022-05-29,41,2
797,2021-07-15,12,2
798,2021-03-10,6,1
799,2022-06-29,20,1
800,2022-08-02,54,1
801,2023-03-28,2,1
802,2021-03-24,40,2
803,2020-02-21,83,2
804,2023-04-14,25,2
805,2020-01-11,45,1
806,2021-11-20,12,2
807,2020-11-20,12,1
808,2022-04-21,79,1
809,2020-01-07,43,2
810,2024-02-22,32,1
811,2020-01-12,27,1
812,2020-12-02,20,1
813,2020-03-16,27,1
814,2022-10-30,45,2
815,2022-09-14,37,1
816,2023-11-24,30,1
817,2020-09-19,112,1
818,2023-10-06,113,1
819,2020-12-23,59,1
820,2020-06-25,72,1
821,2022-05-04,53,2
822,2021-07-24,62,2
823,2023-10-25,65,2
824,2020-10-12,49,2
825,2022-03-02,50,1
826,2020-02-21,68,2
827,2022-10-17,12,2
828,2020-11-16,79,1
829,2021-09-07,50,1
830,2023-05-05,18,2
831,2023-07-21,17,2
832,2024-02-05,51,2
833,2021-05-28,40,1
834,2020-02-21,46,2
835,2023-02-13,99,2
836,2021-04-03,85,2
837,2020-09-24,34,1
838,2022-03-11,49,1
839,2020-11-14,12,1
840,2020-06-07,47,1
841,2023-04-12,8,2
842,2020-02-19,2,2
843,2020-11-21,74,2
844,2020-07-24,31,1
845,2023-05-17,42,1
846,2022-01-16,34,1
847,2020-09-01,55,1
848,2023-04-01,6,2
849,2020-09-02,42,2
850,2022-01-27,80,1
851,2022-12-29,93,2
852,2021-05-19,58,1
853,2022-12-12,6,1
854,2020-08-10,9,1
855,2022-01-22,15,1
856,2021-04-22,6,1
857,2022-12-12,24,2
858,2021-06-07,46,1
859,2020-06-26,43,1
860,2023-07-17,83,1
861,2020-03-23,45,2
862,2022-12-03,12,2
863,2021-03-14,34,1
864,2023-11-22,90,2
865,2023-07-20,37,2
866,2022-11-20,41,2
867,2022-01-29,97,1
868,2020-09-15,71,1
869,2022-01-27,45,1
870,2020-12-26,60,2
871,2020-02-23,36,1
872,2020-05-27,62,2
873,2023-09-16,38,1
874,2022-04-06,3,1
875,2023-10-29,88,2
876,2021-06-09,55,1
877,2023-05-23,38,2
878,2022-07-30,20,2
879,2021-05-15,4,2
880,2022-10-10,12,2
881,2021-08-09,42,2
882,2021-07-17,34,1
883,2021-11-13,85,2
884,2023-08-04,92,2
885,2020-05-13,16,2
886,2021-12-07,46,1
887,2022-06-28,54,1
888,2020-08-02,34,2
889,2021-10-07,6,2
890,2024-01-21,47,1
891,2020-04-21,17,1
892,2022-12-25,54,2
893,2024-02-11,52,2
894,2022-09-21,46,2
895,2023-07-16,100,2
896,2021-05-12,91,1
897,2022-03-22,54,1
898,2023-05-11,49,2
899,2021-07-09,54,1
900,2022-07-10,31,2
901,2023-04-01,64,2
902,2021-05-08,4,1
903,2020-05-21,36,2
904,2020-10-05,61,1
905,2022-06-16,79,1
906,2023-01-26,54,1
907,2022-09-22,35,1
908,2023-09-01,24,1
909,2020-01-11,59,2
910,2022-07-10,54,2
911,2023-09-17,26,2
912,2023-07-21,76,2
913,2021-10-28,27,2
914,2020-02-11,6,2
915,2020-06-23,56,1
916,2021-10-30,20,2
917,2021-02-24,93,2
918,2020-03-08,5,2
919,2021-05-23,58,1
920,2024-01-30,36,1
921,2022-10-12,12,2
922,2020-12-17,106,1
923,2020-10-07,43,2
924,2023-08-02,10,2
925,2022-05-07,57,2
926,2020-01-05,45,2
927,2020-03-11,42,1
928,2020-11-28,34,2
929,2021-02-18,4,1
930,2023-11-11,62,1
931,2023-07-23,56,1
932,2020-10-31,12,2
933,2020-09-03,26,2
934,2020-05-18,40,1
935,2022-02-26,44,1
936,2022-01-13,51,1
937,2023-02-13,63,1
938,2020-06-08,50,2
939,2023-10-08,38,1
940,2023-04-23,16,2
941,2021-03-20,8,1
942,2021-03-11,12,2
943,2020-05-15,10,2
944,2023-09-24,3,2
945,2023-06-30,8,2
946,2023-05-12,68,1
947,2024-01-02,79,2
948,2023-05-08,24,2
949,2020-09-21,18,1
950,2020-04-19,62,1
951,2020-05-19,87,1
952,2022-10-20,57,2
953,2020-05-18,8,1
954,2023-11-07,23,2
955,2023-01-10,58,1
956,2023-04-12,70,2
957,2022-08-16,69,1
958,2024-02-27,16,2
959,2022-10-26,113,1
960,2022-01-19,49,2
961,2021-11-22,62,1
962,2021-05-09,69,1
963,2021-04-16,14,2
964,2022-09-29,85,1
965,2023-06-11,5,2
966,2023-09-13,20,2
967,2023-08-05,37,1
968,2023-04-04,106,2
969,2022-11-19,51,1
970,2020-10-10,23,1
971,2021-02-06,112,2
972,2023-10-21,45,2
973,2021-05-31,21,2
974,2020-09-29,29,1
975,2021-06-20,18,2
976,2024-02-15,46,2
977,2021-08-26,43,2
978,2021-03-18,40,2
979,2020-07-26,105,1
980,2020-11-02,32,2
981,2022-07-07,6,1
982,2020-05-16,23,2
983,2021-01-26,63,2
984,2020-05-29,27,1
985,2020-11-09,6,1
986,2022-08-31,41,2
987,2022-10-17,101,2
988,2020-02-22,30,2
989,2023-04-12,46,1
990,2022-04-12,20,2
991,2021-11-19,46,1
992,2020-07-10,64,1
993,2021-01-14,38,2
994,2022-08-08,53,1
995,2023-01-10,25,2
996,2021-10-13,29,2
997,2023-06-03,66,2
998,2024-01-31,18,1
999,2020-02-13,51,2
1000,2021-06-17,51,1
1001,2023-08-29,73,1
1002,2021-09-29,42,2
1003,2023-10-15,12,2
1004,2021-02-06,66,1
1005,2023-12-01,71,2
1006,2020-04-12,3,2
1007,2021-03-19,86,2
1008,2023-03-08,24,1
1009,2023-09-12,12,1
1010,2021-03-02,59,1
1011,2023-07-30,73,2
1012,2023-06-09,7,1
1013,2023-07-11,62,2
1014,2023-06-12,24,2
1015,2021-11-27,39,2
1016,2024-02-21,52,2
1017,2020-06-22,20,1
1018,2022-02-16,52,1
1019,2023-01-08,26,2
1020,2023-06-20,12,2
1021,2022-05-21,9,1
1022,2020-09-18,79,2
1023,2020-06-28,18,1
1024,2020-06-30,102,2
1025,2021-06-07,18,2
1026,2023-02-20,48,1
1027,2022-04-01,36,1
1028,2023-07-22,64,2
1029,2024-02-12,62,1
1030,2024-01-15,30,1
1031,2020-02-14,15,1
1032,2021-06-04,27,1
1033,2023-05-12,36,1
1034,2020-10-14,57,2
1035,2022-02-24,93,1
1036,2022-02-20,28,1
1037,2021-07-17,62,2
1038,2020-04-26,87,1
1039,2022-05-12,35,1
1040,2022-02-17,76,1
1041,2022-01-06,111,2
1042,2020-05-04,70,1
1043,2020-07-25,11,2
1044,2022-10-18,12,1
1045,2020-04-06,1,2
1046,2022-11-25,22,1
1047,2022-07-29,87,2
1048,2023-05-22,35,2
1049,2021-03-16,18,1
1050,2021-03-11,56,1
1051,2023-08-06,41,2
1052,2022-10-05,41,2
1053,2020-03-15,17,1
1054,2020-09-15,59,1
1055,2023-06-17,39,1
1056,2023-08-18,25,1
1057,2021-03-25,18,2
1058,2023-09-07,31,2
1059,2020-04-09,43,2
1060,2021-12-25,80,2
1061,2023-03-02,42,2
1062,2020-06-27,12,1
1063,2024-02-04,10,2
1064,2021-11-06,62,1
1065,2022-04-14,42,1
1066,2022-03-24,26,1
1067,2022-02-25,78,2
1068,2021-10-01,54,1
1069,2024-02-20,69,2
